Applicants,Number_of_documents
TOYOTA MOTOR CORP,25535
NISSAN MOTOR,12590
TOYOTA MOTOR CO LTD,9733
BOSCH GMBH ROBERT,9610
HONDA MOTOR CO LTD,8303
DENSO CORP,8267
MAZDA MOTOR,8096
HITACHI LTD,5044
MITSUBISHI MOTORS CORP,4309
HYUNDAI MOTOR CO LTD,4072
NIPPON DENSO CO,3753
FORD GLOBAL TECH LLC,3610
MITSUBISHI ELECTRIC CORP,3519
FUJI HEAVY IND LTD,2560
ISUZU MOTORS LTD,2269
DAIHATSU MOTOR CO LTD,1946
YAMAHA MOTOR CO LTD,1928
GM GLOBAL TECH OPERATIONS INC,1823
NIPPON SOKEN,1576
SIEMENS AG,1534
CONTINENTAL AUTOMOTIVE GMBH,1500
AISAN IND,1480
SUZUKI MOTOR CO,1468
HINO MOTORS LTD,1249
JAPAN ELECTRONIC CONTROL SYST,1238
KIA MOTORS CORP,1237
VOLKSWAGEN AG,1229
HITACHI AUTOMOTIVE SYSTEMS LTD,1189
FUJITSU TEN LTD,1178
DAIMLER BENZ AG,1160
UNISIA JECS CORP,1119
KUBOTA KK,1087
CATERPILLAR INC,1052
MITSUBISHI HEAVY IND LTD,1037
BAYERISCHE MOTOREN WERKE AG,1022
AISIN SEIKI,1019
GEN MOTORS CORP,1017
GM GLOBAL TECH OPERATIONS LLC,942
SUZUKI MOTOR CORP,919
DAIMLER CHRYSLER AG,876
KEIHIN CORP,866
RENAULT SAS,856
YANMAR CO LTD,851
DAIMLER AG,817
PEUGEOT CITROEN AUTOMOBILES SA,801
FORD MOTOR CO,719
FORD GLOBAL TECH INC,717
YANMAR DIESEL ENGINE CO,699
AUDI AG,663
KOMATSU MFG CO LTD,658
DIESEL KIKI CO,630
RENAULT SA,620
WEICHAI POWER CO LTD,595
HITACHI CONSTRUCTION MACHINERY,593
HITACHI CAR ENG CO LTD,569
TOYO KOGYO CO,559
NGK SPARK PLUG CO,554
MIKUNI KOGYO KK,545
GEN ELECTRIC,539
NISSAN DIESEL MOTOR CO,537
CUMMINS INC,463
TOYOTA IND CORP,459
RENAULT,456
KAWASAKI HEAVY IND LTD,450
SANSHIN KOGYO KK,447
DELPHI TECH INC,437
HITACHI AUTOMOTIVE ENG,436
TOYOTA CENTRAL RES & DEV,420
PORSCHE AG,413
LUCAS INDUSTRIES LTD,407
MTU FRIEDRICHSHAFEN GMBH,407
AISIN AW CO,397
MITSUBISHI FUSO TRUCK & BUS,387
SCANIA CV AB,384
VDO SCHINDLING,371
AVL LIST GMBH,368
FORD WERKE AG,346
CONTINENTAL AUTOMOTIVE SYSTEMS,343
PIERBURG GMBH,343
KOKUSAN DENKI CO,342
ISEKI AGRICULT MACH,327
NIPPON CARBURETER,326
BENDIX CORP,319
MATSUSHITA ELECTRIC IND CO LTD,315
KUBOTA LTD,311
OSAKA GAS CO LTD,309
KLOECKNER HUMBOLDT DEUTZ AG,292
LUCAS IND PLC,290
EATON CORP,289
CAV LTD,274
BOSCH CORP,270
GM GLOBAL TECH OPERATIONS LLC (N D GES D STAATES DELAWARE),253
JATCO LTD,251
HYUN DAI HEAVY IND CO LTD,249
CUMMINS ENGINE CO INC,245
BORGWARNER INC,244
FORD GLOUBAL TEKNOLODZHIZ ELELSI,243
HITACHI UNISIA AUTOMOTIVE LTD,240
MAGNETI MARELLI SPA,235
TOYODA AUTOMATIC LOOM WORKS,235
